"num","team","first_event","unitless_epa","norm_epa","total_epa","auto_epa","teleop_epa","endgame_epa","rp_1_epa","rp_2_epa","rp_3_epa","rank","rps","rps_per_match","record"
"5940","BREAD","","1941","1973","92.6","20.4","62","10.2","0.56","0.59","0.67","-1","0","0.00","0-0-0"
"8033","Highlander Robotics","","1723","1765","60.6","13.9","38.6","8.1","0.43","0.16","0.58","-1","0","0.00","0-0-0"
"6036","Peninsula Robotics","","1590","1634","40.9","10.4","27.6","2.9","0.19","0.26","0.13","-1","0","0.00","0-0-0"
"5817","Uni-Rex","","1566","1611","37.4","7.8","25.6","4","0.32","-0.12","0.34","-1","0","0.00","0-0-0"
"841","The BioMechs","true","1548","1593","34.7","7.1","23.6","4","0.19","-0.07","0.14","-1","0","0.00","0-0-0"
"4255","Robodores","true","1533","1578","32.5","6.6","22.1","3.8","0.17","-0.07","0.13","-1","0","0.00","0-0-0"
"4159","CardinalBotics","","1526","1569","31.4","7","22.6","1.9","0.24","0.02","0.08","-1","0","0.00","0-0-0"
"846","The Funky Monkeys","","1521","1567","30.8","3.5","26.3","1","0.03","-0.13","0.13","-1","0","0.00","0-0-0"
"5507","Robotic Eagles","true","1511","1556","29.2","6","19.9","3.4","0.16","-0.08","0.12","-1","0","0.00","0-0-0"
"2551","Penguin Empire","true","1503","1548","28.1","5.8","19.1","3.3","0.15","-0.08","0.12","-1","0","0.00","0-0-0"
"840","Aragon Robotics Team","","1500","1544","27.6","4.3","19.7","3.6","0.02","-0.13","0.05","-1","0","0.00","0-0-0"
"8852","Drew Robotics","true","1499","1544","27.5","5.6","18.7","3.2","0.15","-0.08","0.11","-1","0","0.00","0-0-0"
"5104","BreakerBots","","1488","1532","25.8","7.1","11.4","7.3","0.34","0.04","0.39","-1","0","0.00","0-0-0"
"3256","WarriorBorgs","","1481","1525","24.9","6.7","17","1.2","0.25","-0.14","0.19","-1","0","0.00","0-0-0"
"7589","Lishan Blue Magpie","","1479","1523","24.6","3.8","20.3","0.5","0.18","-0.06","-0.04","-1","0","0.00","0-0-0"
"4765","PWRUP","true","1477","1520","24.2","5","16.5","2.8","0.13","-0.08","0.1","-1","0","0.00","0-0-0"
"7667","OtterBots","true","1476","1520","24.2","4.9","16.4","2.8","0.13","-0.08","0.1","-1","0","0.00","0-0-0"
"114","Eaglestrike","","1476","1520","24.1","6.4","15.2","2.5","0.21","-0.12","0.18","-1","0","0.00","0-0-0"
"9038","SF UNITY","true","1475","1518","23.9","4.9","16.3","2.8","0.13","-0.08","0.1","-1","0","0.00","0-0-0"
"8016","Eco Robotics","true","1465","1508","22.5","4.6","15.3","2.6","0.12","-0.08","0.09","-1","0","0.00","0-0-0"
"1458","Red Tie Robotics","","1463","1506","22.2","7","13.2","2","0.46","0.03","0.06","-1","0","0.00","0-0-0"
"8840","Bay Robotics","true","1462","1505","22.1","4.5","15","2.6","0.12","-0.08","0.09","-1","0","0.00","0-0-0"
"4669","Galileo Robotics","true","1459","1501","21.6","4.4","14.7","2.5","0.12","-0.08","0.09","-1","0","0.00","0-0-0"
"4186","Alameda Aztechs","true","1447","1487","19.8","4.1","13.5","2.3","0.11","-0.08","0.08","-1","0","0.00","0-0-0"
"4973","Gator Gears","true","1445","1485","19.5","4","13.3","2.3","0.1","-0.08","0.08","-1","0","0.00","0-0-0"
"5700","SOTA Cyberdragons","","1438","1477","18.6","4.4","12.7","1.5","0.11","-0.13","-0.08","-1","0","0.00","0-0-0"
"5430","Pirate Robolution","true","1437","1475","18.4","3.8","12.5","2.1","0.1","-0.08","0.07","-1","0","0.00","0-0-0"
"10523","Singularity Robotics","true","1435","1473","18","3.7","12.3","2.1","0.1","-0.08","0.07","-1","0","0.00","0-0-0"
"10281","MechaWolves","true","1435","1473","18","3.7","12.3","2.1","0.1","-0.08","0.07","-1","0","0.00","0-0-0"
"3970","Duncan Dynamics","","1434","1472","17.9","3.4","13.5","1","0.15","-0.14","-0.11","-1","0","0.00","0-0-0"
"6822","THE SHISHKABOTS","true","1422","1457","16.2","3.3","11","1.9","0.09","-0.08","0.07","-1","0","0.00","0-0-0"
"7636","Robomania","","1420","1455","15.9","4.8","9.5","1.7","0.08","-0.14","0","-1","0","0.00","0-0-0"
"1868","Space Cookies","","1406","1435","13.8","6.6","4.5","2.7","0.29","-0.13","0.19","-1","0","0.00","0-0-0"
"4904","Bot-Provoking","","1406","1434","13.8","4","8.7","1.1","0.11","0.01","-0.1","-1","0","0.00","0-0-0"
"6506","Steel Boot Robotics","","1404","1433","13.5","4.3","7","2.2","0.18","-0.06","0.18","-1","0","0.00","0-0-0"
"5728","MC2","true","1402","1430","13.2","2.7","9","1.5","0.07","-0.09","0.05","-1","0","0.00","0-0-0"
"8859","Bora Robotics","true","1395","1421","12.2","2.5","8.3","1.4","0.07","-0.09","0.05","-1","0","0.00","0-0-0"
"10390","GOOGIRL","","1389","1412","11.3","3.5","5.8","2","0.32","-0.15","0.12","-1","0","0.00","0-0-0"
"10064","HanniBAL","","1387","1409","11","2.4","7.1","1.5","-0.04","-0.12","0.04","-1","0","0.00","0-0-0"
"5924","Golden Gate Robotics","","1380","1399","9.9","2.6","4.7","2.7","-0.02","-0.14","0.16","-1","0","0.00","0-0-0"
"1280","Ragin' C-Biscuits","","1341","1343","4.3","2.9","0.3","1.1","0.13","-0.13","-0.11","-1","0","0.00","0-0-0"
