match,teamNumber,role,coralPickup,algaePickup,algaeKnocking,underShallowCage,teleopPoints,autoPoints,driverAbility,feeds,defends,coralPickups,algaePickups,coralDrops,algaeDrops,coralL1,coralL2,coralL3,coralL4,processorScores,netScores,netFails,activeAuton,endgame,scouter,notes
Q1,8404,OFFENSE,NONE,NONE,FALSE,FALSE,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,TRUE,NOT_ATTEMPTED,Aiden,DC during the whole match 
Q2,6619,DEFENSE,NONE,NONE,FALSE,TRUE,7,3,3,0,0,1,0,0,0,0,0,0,1,0,0,0,TRUE,PARKED,Grace,beached for ~15s with around 2 minutes left; started playing defense with around 1.5 mins left.
Q3,2473,OFFENSE,STATION,NONE,FALSE,FALSE,34,10,4,0,0,10,0,0,0,1,0,5,3,0,0,0,TRUE,PARKED,Ethan Duong,10 sec coral cycles; did L3 primarily; can do L4; one L4 center auto
Q3,6665,OFFENSE,GROUND,GROUND,FALSE,TRUE,26,0,3,0,0,9,2,2,1,7,0,0,0,0,0,0,FALSE,DEEP,Jeslyn Qi,quokka bot; can pick up ground alage and coral pretty easily and consistently; scores l1 consistently. failed auto
Q4,841,OFFENSE,STATION,NONE,FALSE,FALSE,61,3,4,0,0,17,0,6,0,1,0,3,7,0,0,0,TRUE,DEEP,Jeslyn Qi,fast cycles maybe 7-8 sec; fast hp but holds 1 coral a time. super consistent coral on all levels; with some drops. fast climb 15 sec 
Q4,2489,OFFENSE,STATION,NONE,FALSE,FALSE,27,10,3,0,0,12,0,3,0,1,3,4,1,0,0,0,TRUE,NOT_ATTEMPTED,Grace,pretty consistent overall
Q4,6662,OFFENSE,STATION,REEF,TRUE,FALSE,18,3,3,0,0,8,0,2,0,0,6,0,0,0,0,0,TRUE,NOT_ATTEMPTED,Ethan Duong,10+ sec coral cycle; Statjon coral is kind of slow; Counterdefense isn’t the strongest; no climb
Q4,9777,DEFENSE,GROUND,REEF,TRUE,FALSE,12,3,2,0,1,1,3,1,1,0,0,0,0,2,0,0,TRUE,NOT_ATTEMPTED,Katie,only brought algae to the barge after not being able to score corals; then went to defense on the other side; moved very slow
Q4,9777,DEFENSE,NONE,REEF,TRUE,FALSE,6,3,2,0,1,1,4,0,3,0,0,0,0,1,0,0,TRUE,NOT_ATTEMPTED,Isabella,Got coral stuck in them
Q5,649,OFFENSE,STATION,NONE,FALSE,FALSE,22,3,2,0,0,5,0,1,0,0,0,0,4,0,0,0,TRUE,PARKED,Diya,alignment for some branches was slow
Q5,1678,OFFENSE,GROUND,BOTH,TRUE,FALSE,79,24,5,0,0,19,4,1,0,0,5,6,7,1,3,0,TRUE,PARKED,Isabella,Human players have very good technique; very very fast cycles with coral and algae
Q5,5104,OFFENSE,BOTH,NONE,TRUE,FALSE,39,0,3,0,0,10,2,2,2,3,0,4,1,0,0,0,FALSE,DEEP,Katie,kinda slow to align; consistent scoring
Q5,9143,OFFENSE,STATION,GROUND,FALSE,TRUE,34,6,4,0,0,11,2,0,0,11,0,0,0,2,0,0,TRUE,PARKED,Aiden,Kitbot; 5-7 sec cycle but only L1; processor
Q6,1072,OFFENSE,STATION,REEF,TRUE,FALSE,43,24,4,0,0,12,3,3,0,1,4,0,4,0,3,0,TRUE,DEEP,Ethan Duong,barge cycles are good; got the deep climb nicely; L2-L3 cycles 8 seconds and capable of L4
Q6,5274,OFFENSE,STATION,REEF,TRUE,TRUE,30,6,3,0,0,11,1,0,1,5,4,2,0,0,0,0,TRUE,PARKED,Nathan Watson,Very good at coral rp with coop bc can consistently do L1; 2; & 3
Q6,7413,OFFENSE,GROUND,GROUND,FALSE,TRUE,0,3,1,0,0,1,1,1,1,0,0,0,0,0,0,0,TRUE,FAILED_DEEP,Aiden,Very bad drive ability; problem with drive train; can’t move in one direction. Tried climb 1 minute before match end but failed. 
Q7,4135,OFFENSE,STATION,NONE,TRUE,FALSE,7,3,2,0,0,3,0,0,0,1,0,0,1,0,0,0,TRUE,NOT_ATTEMPTED,Akhil,Experienced a lot of technical difficulties in this match. Moved very sluggishly and took 15+ second pauses while in the middle of the field or after in taking from source. Spent 30 seconds still in other alliances side. When the robot is functional they are able to score L4; align; and intake from coral smoothly. 
Q7,10615,OFFENSE,NONE,REEF,TRUE,FALSE,2,3,2,0,1,1,5,0,5,0,0,0,0,0,0,0,TRUE,PARKED,David,Intook 4 algae and dropped them all. transitioned to clearing algae instead of grabbing them after the 2nd algae.
Q8,2489,OFFENSE,STATION,NONE,FALSE,FALSE,39,3,4,0,0,13,0,2,0,2,4,4,1,0,0,0,TRUE,PARKED,Grace,generally consistent robot; can score all levels of coral pretty consistently 
Q9,649,OFFENSE,STATION,NONE,FALSE,FALSE,12,10,3,0,1,5,0,2,0,0,0,0,3,0,0,0,TRUE,PARKED,Diya,
Q9,1836,OFFENSE,STATION,REEF,TRUE,FALSE,46,12,3,0,0,10,2,0,1,2,0,8,0,1,0,0,TRUE,DEEP,Aimee,Is only able to do L3 and below; alignment was a little slow but it's pretty consistent across any position on the field; it's either auto align or their drivers can see through the reef;  auto looked super good and accurate
Q9,6665,OFFENSE,GROUND,NONE,FALSE,TRUE,28,3,3,0,0,14,0,1,0,13,0,0,0,0,0,0,TRUE,PARKED,David,Tried to score L1 in auto but could not get coral into trough in time. Solid L1 cycles throughout the match; good synergy with alliance. got caught on algae momentarily here and there but traversed field element traffic well
Q9,7137,OFFENSE,NONE,BOTH,TRUE,FALSE,6,3,2,0,0,1,3,1,2,0,0,0,0,1,0,0,TRUE,NOT_ATTEMPTED,Akhil,Poor performance in this match. Extremely jittery alignment at reef. Frequently drops algae. Driver awareness was not up to par. Missed processor on first attempt. Algae only bot.
Q10,2473,OFFENSE,STATION,NONE,FALSE,FALSE,24,10,3,0,0,6,0,0,0,0,0,1,5,0,0,0,TRUE,FAILED_DEEP,Isabella,
Q10,3598,OFFENSE,STATION,NONE,FALSE,FALSE,40,10,3,0,0,12,1,2,1,2,3,0,5,0,0,0,TRUE,DEEP,Bhrigu,
