"num","team","total_points","auto_points","teleop_points","endgame_points","auto_coral","auto_coral_points","teleop_coral","teleop_coral_points","coral_l1","coral_l2","coral_l3","coral_l4","total_coral_points","processor_algae","processor_algae_points","net_algae","net_algae_points","total_algae_points","total_game_pieces"
"5940","BREAD","92.6","20.4","62","10.2","2.3","16.1","12.8","51.3","0.2","3.7","4.9","6.3","67.4","1.5","4.5","1.6","6.2","10.7","18.2"
"8033","Highlander Robotics","60.6","13.9","38.6","8.1","1.6","10.3","7.5","33.4","-0.1","1","2.4","5.6","43.7","0.5","1.4","1","3.8","5.2","10.4"
"6036","Peninsula Robotics","40.9","10.4","27.6","2.9","1.1","7.4","5.7","23","0.3","1.3","2.1","3","30.3","0.7","2.2","0.6","2.4","4.6","8.1"
"5817","Uni-Rex","37.4","7.8","25.6","4","0.6","4","4.7","22.3","0.1","0","0.9","4.2","26.3","0.7","2.1","0.3","1.1","3.3","6.2"
"841","The BioMechs","34.7","7.1","23.6","4","0.6","3.5","5.1","20.1","0.9","0.8","1.3","2.6","23.5","0.4","1.3","0.6","2.2","3.5","6.5"
"4255","Robodores","32.5","6.6","22.1","3.8","0.6","3.2","4.8","18.8","0.8","0.7","1.2","2.4","22","0.4","1.2","0.5","2.1","3.3","6.1"
"4159","CardinalBotics","31.4","7","22.6","1.9","0.7","4.4","5.1","19.1","0.4","1.7","1.5","2","23.5","0.4","1.2","0.6","2.2","3.4","6.6"
"846","The Funky Monkeys","30.8","3.5","26.3","1","0.2","0.9","4.7","22.4","-0.1","0.6","0.8","3.7","23.4","1","3","0.2","0.8","3.8","6.2"
"5507","Robotic Eagles","29.2","6","19.9","3.4","0.5","2.9","4.3","16.9","0.7","0.6","1.1","2.2","19.8","0.4","1.1","0.5","1.9","3","5.5"
"2551","Penguin Empire","28.1","5.8","19.1","3.3","0.5","2.8","4.1","16.3","0.7","0.6","1.1","2.1","19.1","0.4","1","0.5","1.8","2.9","5.3"
"840","Aragon Robotics Team","27.6","4.3","19.7","3.6","0.2","1.2","4.5","19.2","0.3","1","0.6","2.8","20.4","0.5","1.5","-0.3","-1","0.5","4.9"
"8852","Drew Robotics","27.5","5.6","18.7","3.2","0.5","2.7","4","15.9","0.7","0.6","1","2.1","18.6","0.3","1","0.4","1.8","2.8","5.2"
"5104","BreakerBots","25.8","7.1","11.4","7.3","0.8","4.2","3.2","12.8","0.5","0.3","1.3","1.6","16.9","0.1","0.3","-0.4","-1.6","-1.3","3.5"
"3256","WarriorBorgs","24.9","6.7","17","1.2","0.7","3.6","3.8","16.9","0.2","0.2","1.3","2.6","20.5","0.2","0.6","-0.1","-0.6","0.1","4.3"
"7589","Lishan Blue Magpie","24.6","3.8","20.3","0.5","0.7","1.2","2.9","14.1","0.2","-0.2","0","2.7","15.4","0.8","2.4","1","3.8","6.2","4.4"
"4765","PWRUP","24.2","5","16.5","2.8","0.4","2.4","3.5","14","0.6","0.5","0.9","1.8","16.4","0.3","0.9","0.4","1.6","2.5","4.5"
"7667","OtterBots","24.2","4.9","16.4","2.8","0.4","2.4","3.5","14","0.6","0.5","0.9","1.8","16.4","0.3","0.9","0.4","1.6","2.5","4.5"
"114","Eaglestrike","24.1","6.4","15.2","2.5","0.5","2.5","3.3","12.5","0.7","0.5","1.1","1.4","15","0","0","0.7","2.8","2.8","4.3"
"9038","SF UNITY","23.9","4.9","16.3","2.8","0.4","2.4","3.5","13.8","0.6","0.5","0.9","1.8","16.2","0.3","0.9","0.4","1.5","2.4","4.5"
"8016","Eco Robotics","22.5","4.6","15.3","2.6","0.4","2.3","3.3","13","0.6","0.5","0.9","1.7","15.3","0.3","0.8","0.4","1.5","2.3","4.2"
"1458","Red Tie Robotics","22.2","7","13.2","2","0.7","3.7","3.1","11.7","1.1","0.2","0.1","2.2","15.4","-0.1","-0.2","0.4","1.7","1.6","3.9"
"8840","Bay Robotics","22.1","4.5","15","2.6","0.4","2.2","3.2","12.8","0.5","0.5","0.8","1.7","15","0.3","0.8","0.4","1.4","2.2","4.2"
"4669","Galileo Robotics","21.6","4.4","14.7","2.5","0.4","2.2","3.2","12.5","0.5","0.5","0.8","1.6","14.7","0.3","0.8","0.4","1.4","2.2","4.1"
"4186","Alameda Aztechs","19.8","4.1","13.5","2.3","0.3","2","2.9","11.4","0.5","0.4","0.7","1.5","13.4","0.2","0.7","0.3","1.3","2","3.7"
"4973","Gator Gears","19.5","4","13.3","2.3","0.3","2","2.9","11.3","0.5","0.4","0.7","1.5","13.2","0.2","0.7","0.3","1.3","2","3.7"
"5700","SOTA Cyberdragons","18.6","4.4","12.7","1.5","0.1","1.4","1.8","8.7","0.4","-0.3","-0.4","2.1","10","0.4","1.1","0.8","3","4.1","2.9"
"5430","Pirate Robolution","18.4","3.8","12.5","2.1","0.3","1.8","2.7","10.6","0.5","0.4","0.7","1.4","12.5","0.2","0.7","0.3","1.2","1.9","3.5"
"10281","MechaWolves","18","3.7","12.3","2.1","0.3","1.8","2.6","10.4","0.4","0.4","0.7","1.4","12.2","0.2","0.7","0.3","1.2","1.8","3.4"
"10523","Singularity Robotics","18","3.7","12.3","2.1","0.3","1.8","2.6","10.4","0.4","0.4","0.7","1.4","12.2","0.2","0.7","0.3","1.2","1.8","3.4"
"3970","Duncan Dynamics","17.9","3.4","13.5","1","0.2","0.9","2.8","10.6","1","0","0.6","1.3","11.5","0.2","0.7","0.6","2.3","3","3.7"
"6822","THE SHISHKABOTS","16.2","3.3","11","1.9","0.3","1.6","2.4","9.4","0.4","0.4","0.6","1.2","11","0.2","0.6","0.3","1","1.6","3"
"7636","Robomania","15.9","4.8","9.5","1.7","0.4","2.2","1.7","9.2","-0.1","0","-0.2","2.3","11.4","0.9","2.6","-0.6","-2.3","0.3","2.3"
"1868","Space Cookies","13.8","6.6","4.5","2.7","0.6","3.7","1","4","0.1","0.2","0.4","0.8","7.7","-0.1","-0.3","0.2","0.8","0.5","1.6"
"4904","Bot-Provoking","13.8","4","8.7","1.1","0.2","1.7","2.5","9.1","0.3","1.4","-0.1","1.2","10.8","0.1","0.4","-0.2","-0.8","-0.4","2.7"
"6506","Steel Boot Robotics","13.5","4.3","7","2.2","0.3","2","1.7","5.6","0.8","0.2","0.1","0.9","7.6","0.3","0.8","0.2","0.7","1.4","2.3"
"5728","MC2","13.2","2.7","9","1.5","0.2","1.3","1.9","7.6","0.3","0.3","0.5","1","9","0.2","0.5","0.2","0.9","1.3","2.5"
"8859","Bora Robotics","12.2","2.5","8.3","1.4","0.2","1.2","1.8","7.1","0.3","0.3","0.5","0.9","8.3","0.2","0.5","0.2","0.8","1.2","2.3"
"10390","GOOGIRL","11.3","3.5","5.8","2","0.2","0.8","1.5","5.6","0","0.8","0.2","0.5","6.4","0","0.1","0","0.1","0.1","1.6"
"10064","HanniBAL","11","2.4","7.1","1.5","0.1","-0.1","1.3","3.9","0.7","0","0.3","0.2","3.9","1.1","3.2","0","-0.1","3.1","2.3"
"5924","Golden Gate Robotics","9.9","2.6","4.7","2.7","0.2","1","1.4","5.7","0.2","-0.2","1.1","0.4","6.7","-0.1","-0.4","-0.2","-0.7","-1.1","1.2"
"1280","Ragin' C-Biscuits","4.3","2.9","0.3","1.1","0.3","1.7","-0.8","-1.1","-0.4","-0.4","-0.5","0.8","0.5","0.1","0.2","0.3","1.3","1.5","-0.1"
